Physical flow account for greenhouse gas emissions c 1 2 3 4 5 6 7 8 9 10 11,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,
Table: 38-10-0097-01 (formerly CANSIM 153-0114),,,,,,,,,,,
Release date: 2023-12-20,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,Wholesale trade  [BS41000],113,115,104,112,111,118,122,113,110,110
,Retail trade  [BS4A000],206,228,..,..,..,..,..,..,..,..
,Retail trade (except cannabis)  [BS4AA00],..,..,219,226,241,284,307,299,252,252
,Cannabis stores (licensed)  [BS453BL],..,..,0,0,0,0,0s,1,2,2
,Cannabis stores (unlicensed)  [BS453BU],..,..,1,1,1,1,1,1,1,1
,Air transportation  [BS48100],381,382,349,247,247,236,247,264,144,144
,Rail transportation  [BS48200],28,29,29,30,31,32,31,25,21,22
,Water transportation  [BS48300],395,363,315,258,234,254,281,302,268,262
,Truck transportation  [BS48400],357,348,404,397,279,285,285,266,248,269
,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation  [BS48B00]",72,85,81,93,95,102,83,85,82,82
,Pipeline transportation  [BS48600],6,6,10,8,2,2,2,2,2,2
,Postal service and couriers and messengers  [BS49A00],44,40,30,43,43,36,36,34,46,47
,Warehousing and storage  [BS49300],5,5,4,4,4,4,5,5,5,5
,Motion picture and sound recording industries  [BS51200],6,4,4,5,5,7,6,6,7,7
,Radio and television broadcasting  [BS51510],1,1,1,1,1,1,0s,0s,1,1
,"Publishing, pay/specialty services, telecommunications and other information services  [BS51B00]",16,14,15,22,45,51,33,21,12,12
,Depository credit intermediation and monetary authorities  [BS52B00],11,7,5,6,5,4,4,4,3,3
,Insurance carriers  [BS52410],5,3,2,3,2,2,2,2,1,1
,Lessors of real estate  [BS53110],120,78,65,78,53,39,26,28,36,38
,Owner-occupied dwellings  [BS5311A],0,0,0,0,0,0,0,0,0,0
,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [BS53B00],70,45,27,32,34,31,32,27,24,25
,"Other finance, insurance and real estate services and management of companies and enterprises  [BS5A000]",103,68,54,69,54,49,45,46,71,73
,"Legal, accounting and architectural, engineering and related services  [BS541C0]",12,13,11,14,16,15,15,15,11,11
,"Computer systems design and other professional, scientific and technical services  [BS541D0]",12,12,11,12,17,12,13,13,10,10
,"Advertising, public relations and related services  [BS54180]",1,1,2,2,2,2,2,2,1,1
,Administrative and support services  [BS56100],49,35,32,52,52,57,55,48,43,45
,Waste management and remediation services  [BS56200],57,41,20,39,40,50,60,54,54,53
,Educational services  [BS61000],1,1,1,2,2,2,2,1,2,2
,Health care and social assistance  [BS62000],77,65,60,63,60,55,49,44,48,51
,"Arts, entertainment and recreation  [BS71000]",2,2,2,3,2,1,1,1,1,1
,Accommodation and food services  [BS72000],69,59,52,59,51,55,57,56,54,53
,Repair and maintenance  [BS81100],46,37,35,42,42,49,58,57,66,68
,Personal services and private households  [BS81A00],14,11,10,14,12,12,10,9,9,9
,Professional and similar organisations  [BS81300],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Repair and maintenance  [FC11000],0,0,0,0,0,0,0,0,0,0
,Operating supplies  [FC12000],0,0,0,0,0,0,0,0,0,0
,Office supplies  [FC13000],0,0,0,0,0,0,0,0,0,0
,"Advertising, promotion, meals, entertainment, and travel  [FC20000]",0,0,0,0,0,0,0,0,0,0
,Transportation margins  [FC30000],0,0,0,0,0,0,0,0,0,0
,Non-profit education services  [NP61000],1,1,1,1,1,1,0s,0s,1,1
,Non-profit social assistance  [NP62400],2,2,1,1,1,1,1,1,2,2
,"Non-profit arts, entertainment and recreation  [NP71000]",1,1,1,1,1,1,1,1,1,1
,Religious organizations  [NP81310],6,7,6,7,5,3,3,3,5,5
,Miscellaneous non-profit institutions serving households  [NPA0000],23,20,18,26,18,15,13,14,16,17
,Educational services (except universities)  [GS611B0],38,48,47,57,35,26,21,21,24,26
,Universities  [GS61130],34,29,25,34,33,33,37,34,26,28
,Hospitals  [GS62200],25,26,21,28,18,14,11,11,9,10
,Nursing and residential care facilities  [GS62300],4,4,4,5,3,3,2,2,3,3
,Other federal government services  [GS91100],263,232,220,264,289,299,300,287,231,198
,Other provincial and territorial government services  [GS91200],45,54,36,34,40,69,66,62,123,123
,Other municipal government services  [GS91300],136,112,102,115,106,106,106,105,132,133
,Other aboriginal government services  [GS91400],4,3,3,3,4,8,11,8,11,11
,"Total, households","5,125","4,782","4,445","4,975","4,648","4,772","4,918","4,777","4,114","4,073"
,Households: Motor fuels and lubricants,"2,619","2,333","2,159","2,545","2,563","2,690","2,765","2,749","2,219","2,320"
,Households: Electricity and other fuels,"2,506","2,448","2,286","2,429","2,085","2,083","2,153","2,028","1,895","1,753"
New Brunswick,"Total, industries and households","19,657","17,956","16,698","18,238","19,209","18,119","17,973","17,014","15,665","16,139"
,"Total, industries","15,096","13,868","12,567","13,489","14,825","14,386","14,436","13,768","12,910","13,527"
,Crop and animal production  [BS11A00],703,667,..,..,..,..,..,..,..,..
,Crop and animal production (except cannabis)  [BS11B00],..,..,566,490,550,506,506,474,472,493
,Cannabis production (licensed)  [BS111CL],..,..,0s,0s,0s,0s,2,28,36,37
,Cannabis production (unlicensed)  [BS111CU],..,..,4,4,4,3,2,1,1,1
,Forestry and logging  [BS11300],442,420,397,471,442,459,379,287,244,259
,"Fishing, hunting and trapping  [BS11400]",81,52,67,92,115,100,104,132,178,159
,Support activities for agriculture and forestry  [BS11500],20,6,11,10,9,11,8,7,6,7
,Oil and gas extraction  [BS21100],188,207,178,190,194,217,181,202,192,201
,Coal mining  [BS21210],1,1,1,0s,0s,0s,0s,0s,0s,0s
,Metal ore mining  [BS21220],68,19,0s,10,17,10,10,7,16,10
,Non-metallic mineral mining and quarrying  [BS21230],79,67,71,82,27,25,27,30,29,27
,Support activities for mining and oil and gas extraction  [BS21300],203,93,84,79,64,40,38,40,18,25
,"Electric power generation, transmission and distribution  [BS22110]","4,010","4,130","3,625","4,136","4,464","3,767","4,155","3,768","3,186","3,956"
,"Natural gas distribution, water, sewage and other systems  [BS221A0]",7,4,4,5,6,4,3,4,4,5
,Residential building construction  [BS23A00],16,16,15,16,10,9,11,11,11,14
,Non-residential building construction  [BS23B00],5,8,7,7,4,4,5,5,4,5
,Transportation engineering construction  [BS23C10],48,18,23,33,27,22,26,14,17,24
,Oil and gas engineering construction  [BS23C20],3,2,3,1,1,1,1,1,1,1
,Electric power engineering construction  [BS23C30],13,7,9,8,7,7,8,10,7,9
,Communication engineering construction  [BS23C40],1,3,4,5,7,5,6,4,4,6
,Other engineering construction  [BS23C50],16,11,6,5,5,5,9,7,7,9
,Repair construction  [BS23D00],18,19,22,34,24,21,23,22,20,25
,Other activities of the construction industry  [BS23E00],4,4,4,6,4,3,3,3,3,3
,Animal food manufacturing  [BS31110],4,3,3,5,8,9,7,5,5,4
,Sugar and confectionery product manufacturing  [BS31130],3,3,2,2,2,3,2,2,2,3
,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],99,98,64,77,38,56,51,70,13,13
,Dairy product manufacturing  [BS31150],9,7,3,5,13,10,6,8,7,7
,Meat product manufacturing  [BS31160],6,4,8,16,17,17,7,17,17,16
,Seafood product preparation and packaging  [BS31170],50,47,44,34,39,34,41,31,23,21
,Miscellaneous food manufacturing  [BS311A0],10,13,15,13,11,7,8,8,8,8
,Soft drink and ice manufacturing  [BS31211],8,7,11,10,11,9,8,4,4,4
,Breweries  [BS31212],21,18,17,19,34,21,15,20,30,28
,Wineries and distilleries  [BS3121A],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Tobacco manufacturing  [BS31220],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Textile and textile product mills  [BS31A00],2,1,1,1,2,2,2,1,1,1
,Clothing and leather and allied product manufacturing  [BS31B00],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Wood product manufacturing  [BS32100] 12,305,289,206,282,326,584,773,642,662,454
,"Pulp, paper and paperboard mills  [BS32210] 12","2,828","2,827","2,364","2,636","3,406","3,487","3,623","3,353","3,365","3,518"
,Converted paper product manufacturing  [BS32220],6,5,3,9,4,4,5,8,8,8
,Printing and related support activities  [BS32300],2,1,1,1,1,1,1,1,1,1
,Petroleum and coal product manufacturing  [BS32400],"2,706","2,582","2,518","2,380","2,848","3,008","2,378","2,802","2,799","2,667"
,Basic chemical manufacturing  [BS32510],3,5,4,9,5,9,10,18,27,22
,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",4,7,10,9,15,15,14,14,25,22
,Pharmaceutical and medicine manufacturing  [BS32540],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Miscellaneous chemical product manufacturing  [BS325C0] 13,2,1,1,0s,1,1,1,1,1,0s
,Plastic product manufacturing  [BS32610],9,8,16,9,8,8,13,12,15,15
,Rubber product manufacturing  [BS32620],2,2,2,1,1,1,1,1,1,1
,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],36,21,19,33,116,140,148,158,143,149
,Cement and concrete product manufacturing  [BS32730],21,22,3,3,10,10,26,13,21,23
,Primary metal manufacturing  [BS33100],166,172,74,164,142,199,206,31,1,0s
,Fabricated metal product manufacturing  [BS33200],22,23,24,18,19,13,17,18,21,21
,Machinery manufacturing  [BS33300],6,7,6,3,3,4,3,6,7,7
,Computer and peripheral equipment manufacturing  [BS33410],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Electronic product manufacturing  [BS334B0],0s,1,0s,0s,0s,0s,0s,0s,0s,0s
,Electrical  equipment and component manufacturing  [BS335A0],1,1,1,1,0s,0s,0s,0s,0s,0s
,Household appliance manufacturing  [BS33520],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Motor vehicle manufacturing  [BS33610],2,2,2,1,0s,1,1,1,1,1
,Motor vehicle body and trailer manufacturing  [BS33620],2,2,1,1,2,1,2,1,1,1
,Motor vehicle parts manufacturing  [BS33630],1,1,1,0s,0s,0s,0s,0s,0s,0s
,Aerospace product and parts manufacturing  [BS33640],1,0s,1,1,1,1,0s,0s,0s,0s
,Railroad rolling stock manufacturing  [BS33650],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Ship and boat building  [BS33660],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Other transportation equipment manufacturing  [BS33690],1,1,1,0s,0s,1,1,2,1,1
,Furniture and related product manufacturing  [BS33700],4,5,3,4,3,3,3,3,3,2
,Miscellaneous manufacturing  [BS33900],7,19,4,4,3,4,2,3,3,4
,Wholesale trade  [BS41000],101,112,168,174,109,83,97,96,78,78
,Retail trade  [BS4A000],143,104,..,..,..,..,..,..,..,..
,Retail trade (except cannabis)  [BS4AA00],..,..,158,160,98,76,90,88,81,76
,Cannabis stores (licensed)  [BS453BL],..,..,0,0,0,0,0s,1,1,1
,Cannabis stores (unlicensed)  [BS453BU],..,..,1,1,1,0s,0s,0s,0s,0s
,Air transportation  [BS48100],84,79,78,88,88,140,157,168,53,53
,Rail transportation  [BS48200],85,88,88,94,91,98,93,91,80,100
,Water transportation  [BS48300],533,116,89,179,218,116,139,100,144,121
,Truck transportation  [BS48400],822,798,719,607,467,464,392,341,207,227
,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation  [BS48B00]",46,36,38,34,25,19,21,23,13,14
,Pipeline transportation  [BS48600],11,7,8,6,19,16,16,7,7,7
,Postal service and couriers and messengers  [BS49A00],41,28,20,33,27,16,24,21,24,28
,Warehousing and storage  [BS49300],3,2,2,2,3,2,2,2,2,2
,Motion picture and sound recording industries  [BS51200],2,2,5,3,1,1,1,1,5,5
,Radio and television broadcasting  [BS51510],1,0s,0s,1,0s,0s,0s,0s,0s,0s
,"Publishing, pay/specialty services, telecommunications and other information services  [BS51B00]",20,12,14,11,18,14,10,7,6,6
,Depository credit intermediation and monetary authorities  [BS52B00],10,5,7,6,5,3,4,4,3,3
,Insurance carriers  [BS52410],3,1,1,2,1,1,1,1,1,1
,Lessors of real estate  [BS53110],47,36,49,51,37,26,30,34,26,24
,Owner-occupied dwellings  [BS5311A],0,0,0,0,0,0,0,0,0,0
,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [BS53B00],29,11,15,15,15,11,13,11,8,8
,"Other finance, insurance and real estate services and management of companies and enterprises  [BS5A000]",50,32,28,29,31,26,29,28,33,32
,"Legal, accounting and architectural, engineering and related services  [BS541C0]",14,9,13,12,7,5,5,6,4,4
,"Computer systems design and other professional, scientific and technical services  [BS541D0]",12,6,12,12,5,4,4,5,3,2
,"Advertising, public relations and related services  [BS54180]",0s,0s,0s,1,0s,0s,0s,0s,0s,0s
,Administrative and support services  [BS56100],40,23,28,42,33,26,28,26,22,23
,Waste management and remediation services  [BS56200],48,23,13,13,15,10,13,12,13,11
,Educational services  [BS61000],2,1,1,1,1,1,1,1,0s,0s
,Health care and social assistance  [BS62000],52,37,31,31,36,31,34,27,27,27
,"Arts, entertainment and recreation  [BS71000]",5,3,2,2,2,2,2,2,1,1
,Accommodation and food services  [BS72000],67,29,38,36,35,24,32,30,28,25
,Repair and maintenance  [BS81100],54,31,41,42,32,26,32,29,33,31
,Personal services and private households  [BS81A00],15,7,7,8,7,6,6,6,6,6
,Professional and similar organisations  [BS81300],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Repair and maintenance  [FC11000],0,0,0,0,0,0,0,0,0,0
,Operating supplies  [FC12000],0,0,0,0,0,0,0,0,0,0
,Office supplies  [FC13000],0,0,0,0,0,0,0,0,0,0
,"Advertising, promotion, meals, entertainment, and travel  [FC20000]",0,0,0,0,0,0,0,0,0,0
,Transportation margins  [FC30000],0,0,0,0,0,0,0,0,0,0
,Non-profit education services  [NP61000],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Non-profit social assistance  [NP62400],1,1,0s,0s,1,1,0s,1,1,1
,"Non-profit arts, entertainment and recreation  [NP71000]",1,1,1,1,1,1,1,0s,0s,0s
,Religious organizations  [NP81310],5,4,3,4,4,2,4,4,4,4
,Miscellaneous non-profit institutions serving households  [NPA0000],4,3,2,3,4,3,3,2,3,3
,Educational services (except universities)  [GS611B0],12,2,2,2,2,2,2,2,2,2
,Universities  [GS61130],16,14,12,13,14,14,16,16,15,15
,Hospitals  [GS62200],7,7,7,7,8,9,12,12,12,11
,Nursing and residential care facilities  [GS62300],4,3,3,4,3,3,4,4,4,4
,Other federal government services  [GS91100],195,85,173,132,105,80,69,73,75,64
,Other provincial and territorial government services  [GS91200],97,74,68,116,95,84,94,94,131,126
,Other municipal government services  [GS91300],137,76,83,75,84,58,68,66,72,67
,Other aboriginal government services  [GS91400],3,2,4,4,2,4,6,8,11,11
,"Total, households","4,561","4,087","4,131","4,748","4,384","3,733","3,537","3,246","2,755","2,612"
,Households: Motor fuels and lubricants,"2,484","2,087","1,926","2,247","2,503","2,297","2,255","2,230","1,833","1,787"
,Households: Electricity and other fuels,"2,077","2,000","2,205","2,501","1,881","1,436","1,282","1,017",922,826
Quebec,"Total, industries and households","89,602","89,319","87,815","90,656","88,846","90,941","91,681","92,898","81,363","84,473"
,"Total, industries","63,414","62,316","61,144","64,093","62,838","64,729","65,459","66,491","59,845","62,140"
,Crop and animal production  [BS11A00],"9,596","9,526",..,..,..,..,..,..,..,..
,Crop and animal production (except cannabis)  [BS11B00],..,..,"9,315","9,618","9,644","9,177","9,883","9,602","9,688","9,386"
,Cannabis production (licensed)  [BS111CL],..,..,1,1,1,3,5,57,65,64
,Cannabis production (unlicensed)  [BS111CU],..,..,60,53,56,49,44,36,23,21
,Forestry and logging  [BS11300],"1,436","1,605","1,535","1,823","1,705","1,773","1,638","1,423","1,218","1,308"
,"Fishing, hunting and trapping  [BS11400]",51,57,46,60,63,92,73,102,98,109
,Support activities for agriculture and forestry  [BS11500],272,241,238,275,293,281,300,308,262,289
,Oil and gas extraction  [BS21100],322,339,329,368,355,385,459,471,402,353
,Coal mining  [BS21210],3,3,3,1,1,1,1,1,2,2
,Metal ore mining  [BS21220],"2,206","2,123","1,714","1,627","1,665","1,681","2,032","1,903","1,662","1,749"
,Non-metallic mineral mining and quarrying  [BS21230],121,107,98,22,33,124,78,561,"1,561","1,831"
,Support activities for mining and oil and gas extraction  [BS21300],375,338,529,473,439,679,594,562,608,721
,"Electric power generation, transmission and distribution  [BS22110]",358,241,249,208,236,242,245,239,297,256
,"Natural gas distribution, water, sewage and other systems  [BS221A0]",38,32,28,42,38,42,34,37,34,36
,Residential building construction  [BS23A00],388,370,396,345,395,472,501,536,585,648
,Non-residential building construction  [BS23B00],96,80,82,99,106,112,121,138,117,132
,Transportation engineering construction  [BS23C10],307,230,138,144,182,242,260,261,224,258
,Oil and gas engineering construction  [BS23C20],19,10,13,7,8,9,11,13,15,17
,Electric power engineering construction  [BS23C30],146,181,146,104,122,139,101,108,85,99
,Communication engineering construction  [BS23C40],16,28,77,72,75,81,71,55,45,52
,Other engineering construction  [BS23C50],296,270,174,257,214,264,292,251,252,285
,Repair construction  [BS23D00],198,122,141,142,177,199,202,224,201,227
,Other activities of the construction industry  [BS23E00],37,44,41,38,33,35,39,37,29,30
,Animal food manufacturing  [BS31110],62,79,174,80,106,75,102,84,76,70
,Sugar and confectionery product manufacturing  [BS31130],91,95,138,282,148,258,122,113,117,108
,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],68,63,66,52,58,57,61,78,94,86
,Dairy product manufacturing  [BS31150],169,285,159,148,154,156,141,187,187,207
,Meat product manufacturing  [BS31160],177,204,167,194,199,239,239,255,231,262
,Seafood product preparation and packaging  [BS31170],16,7,5,7,7,8,5,5,3,4
,Miscellaneous food manufacturing  [BS311A0],569,693,450,456,496,445,501,423,356,408
,Soft drink and ice manufacturing  [BS31211],40,31,34,37,44,42,35,32,22,25
,Breweries  [BS31212],113,139,130,125,94,85,86,93,105,119
,Wineries and distilleries  [BS3121A],20,68,49,34,49,53,56,62,74,84
,Tobacco manufacturing  [BS31220],10,11,17,21,18,18,9,12,10,11
,Textile and textile product mills  [BS31A00],89,140,93,49,64,54,53,68,65,74
,Clothing and leather and allied product manufacturing  [BS31B00],30,40,16,21,17,19,18,17,13,14
,Wood product manufacturing  [BS32100] 12,"2,191","1,680","1,502","2,797","2,435","2,053","2,035","2,290","1,903","2,216"
,"Pulp, paper and paperboard mills  [BS32210] 12","6,406","6,805","6,982","7,286","7,513","7,306","7,629","7,452","6,460","6,057"
,Converted paper product manufacturing  [BS32220],245,221,181,222,159,171,182,178,241,238
,Printing and related support activities  [BS32300],59,59,64,29,47,48,33,41,27,30
,Petroleum and coal product manufacturing  [BS32400],"2,428","2,247","2,266","2,417","2,150","1,938","2,334","2,225","2,227","2,227"
,Basic chemical manufacturing  [BS32510],701,702,"1,414","1,325",516,681,741,774,821,811
,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",65,45,50,48,51,40,33,31,26,27
,Pharmaceutical and medicine manufacturing  [BS32540],54,44,42,55,61,90,79,64,53,48
,Miscellaneous chemical product manufacturing  [BS325C0] 13,77,93,94,120,121,143,182,160,134,132
,Plastic product manufacturing  [BS32610],170,279,154,182,183,189,150,170,153,174
,Rubber product manufacturing  [BS32620],64,60,66,62,74,97,74,79,59,67
,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],"1,065",935,985,781,745,772,554,558,478,706
,Cement and concrete product manufacturing  [BS32730],"2,417","2,207","2,127","2,198","2,312","2,948","2,861","3,615","3,196","3,520"
,Primary metal manufacturing  [BS33100],"7,292","7,642","8,194","8,429","8,377","8,522","7,744","7,822","7,376","7,659"
,Fabricated metal product manufacturing  [BS33200],368,355,286,251,265,248,282,343,301,369
,Machinery manufacturing  [BS33300],109,107,91,80,98,112,93,112,93,105
,Computer and peripheral equipment manufacturing  [BS33410],1,1,1,1,1,1,1,1,1,1
,Electronic product manufacturing  [BS334B0],30,26,29,25,32,26,24,28,24,27
,Electrical  equipment and component manufacturing  [BS335A0],86,76,55,34,36,33,25,30,23,26
,Household appliance manufacturing  [BS33520],10,13,2,1,1,1,1,2,3,4
,Motor vehicle manufacturing  [BS33610],24,27,40,54,21,10,10,21,12,14
,Motor vehicle body and trailer manufacturing  [BS33620],16,17,16,13,21,12,14,23,17,19
,Motor vehicle parts manufacturing  [BS33630],14,29,22,17,29,19,26,25,18,21
,Aerospace product and parts manufacturing  [BS33640],97,161,212,226,236,222,189,218,124,136
,Railroad rolling stock manufacturing  [BS33650],2,2,1,2,1,2,4,2,2,2
,Ship and boat building  [BS33660],5,5,4,8,10,8,8,12,12,13
,Other transportation equipment manufacturing  [BS33690],13,34,30,23,24,27,14,19,20,23
,Furniture and related product manufacturing  [BS33700],107,123,75,99,111,101,81,99,72,81
,Miscellaneous manufacturing  [BS33900],52,71,55,55,65,44,73,83,85,95
,Wholesale trade  [BS41000],"1,872","1,940","1,686","1,771","1,765","1,839","1,764","1,785","1,488","1,617"
,Retail trade  [BS4A000],"1,231","1,310",..,..,..,..,..,..,..,..
,Retail trade (except cannabis)  [BS4AA00],..,..,"1,249","1,391","1,412","1,498","1,434","1,470","1,255","1,337"
,Cannabis stores (licensed)  [BS453BL],..,..,0,0,0,0,0s,6,9,9
,Cannabis stores (unlicensed)  [BS453BU],..,..,12,11,14,12,9,9,6,7
,Air transportation  [BS48100],"3,109","3,026","3,315","3,209","3,245","4,052","4,241","4,395","1,775","1,773"
,Rail transportation  [BS48200],344,324,333,318,301,308,410,416,411,348
,Water transportation  [BS48300],695,676,564,574,648,616,735,669,452,473
,Truck transportation  [BS48400],"4,583","4,256","4,203","4,140","3,648","3,923","4,113","3,758","3,758","4,079"
,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation  [BS48B00]",856,830,789,783,891,774,989,"1,136",904,892
,Pipeline transportation  [BS48600],204,272,356,328,87,89,105,110,107,113
,Postal service and couriers and messengers  [BS49A00],485,473,322,401,362,346,400,386,418,443
,Warehousing and storage  [BS49300],14,15,13,13,14,16,19,21,19,21
,Motion picture and sound recording industries  [BS51200],97,83,66,127,121,132,137,147,102,105
,Radio and television broadcasting  [BS51510],7,4,3,3,6,7,4,3,2,2
,"Publishing, pay/specialty services, telecommunications and other information services  [BS51B00]",153,132,123,134,448,453,347,334,200,221
,Depository credit intermediation and monetary authorities  [BS52B00],256,272,227,264,250,237,217,235,215,221
,Insurance carriers  [BS52410],43,30,27,30,29,28,26,31,27,29
,Lessors of real estate  [BS53110],"1,016",935,862,914,921,906,891,864,800,818
,Owner-occupied dwellings  [BS5311A],0,0,0,0,0,0,0,0,0,0
,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [BS53B00],314,276,239,277,310,312,296,300,236,253
,"Other finance, insurance and real estate services and management of companies and enterprises  [BS5A000]",597,537,493,534,547,559,553,588,594,629
,"Legal, accounting and architectural, engineering and related services  [BS541C0]",135,130,102,137,135,131,121,129,118,124
,"Computer systems design and other professional, scientific and technical services  [BS541D0]",126,119,94,131,137,134,112,109,95,98
,"Advertising, public relations and related services  [BS54180]",28,26,26,27,30,32,30,30,20,21
,Administrative and support services  [BS56100],446,366,365,446,469,507,504,499,428,458
,Waste management and remediation services  [BS56200],515,474,262,316,361,432,365,419,294,333
,Educational services  [BS61000],51,57,52,59,62,62,68,73,68,71
,Health care and social assistance  [BS62000],128,131,131,114,114,120,118,117,95,99
,"Arts, entertainment and recreation  [BS71000]",51,59,59,61,54,58,57,64,35,37
,Accommodation and food services  [BS72000],345,348,344,379,377,413,403,435,220,242
,Repair and maintenance  [BS81100],526,341,369,414,400,403,426,466,371,399
,Personal services and private households  [BS81A00],118,135,130,150,141,162,152,157,129,135
,Professional and similar organisations  [BS81300],6,6,4,5,5,5,5,5,5,5
,Repair and maintenance  [FC11000],0,0,0,0,0,0,0,0,0,0
,Operating supplies  [FC12000],0,0,0,0,0,0,0,0,0,0
,Office supplies  [FC13000],0,0,0,0,0,0,0,0,0,0
,"Advertising, promotion, meals, entertainment, and travel  [FC20000]",0,0,0,0,0,0,0,0,0,0
,Transportation margins  [FC30000],0,0,0,0,0,0,0,0,0,0
,Non-profit education services  [NP61000],48,42,34,38,56,54,49,54,46,47
,Non-profit social assistance  [NP62400],97,87,43,44,47,50,45,41,54,56
,"Non-profit arts, entertainment and recreation  [NP71000]",38,42,33,38,30,34,30,29,21,22
,Religious organizations  [NP81310],108,118,91,91,111,47,57,64,46,47
,Miscellaneous non-profit institutions serving households  [NPA0000],190,146,115,137,173,185,159,162,154,161
,Educational services (except universities)  [GS611B0],324,339,331,338,329,369,333,267,209,214
,Universities  [GS61130],369,384,357,396,410,498,488,465,414,435
,Hospitals  [GS62200],158,159,174,208,202,224,200,172,181,184
,Nursing and residential care facilities  [GS62300],18,29,28,32,28,31,31,33,30,30
,Other federal government services  [GS91100],437,374,275,233,220,263,303,304,321,327
,Other provincial and territorial government services  [GS91200],239,143,128,182,188,171,129,138,161,181
,Other municipal government services  [GS91300],"1,104",975,802,737,724,695,611,639,646,707
,Other aboriginal government services  [GS91400],32,27,27,31,28,92,87,125,116,124
,"Total, households","26,188","27,003","26,670","26,563","26,008","26,212","26,222","26,407","21,518","22,334"
,Households: Motor fuels and lubricants,"17,018","17,263","16,652","16,608","16,380","17,208","17,218","17,701","13,802","14,925"
,Households: Electricity and other fuels,"9,170","9,740","10,019","9,955","9,627","9,004","9,004","8,706","7,717","7,409"
Ontario,"Total, industries and households","172,690","173,224","169,899","169,450","166,827","164,825","170,603","170,955","148,305","152,076"
,"Total, industries","125,724","121,618","119,361","119,088","117,601","114,356","118,072","119,159","106,794","111,017"
,Crop and animal production  [BS11A00],"12,033","12,520",..,..,..,..,..,..,..,..
,Crop and animal production (except cannabis)  [BS11B00],..,..,"11,705","11,896","12,218","12,155","12,284","11,586","12,295","12,339"
,Cannabis production (licensed)  [BS111CL],..,..,2,2,4,5,1,790,656,727
,Cannabis production (unlicensed)  [BS111CU],..,..,41,48,45,39,45,34,18,21
,Forestry and logging  [BS11300],757,824,800,"1,154","1,090","1,153","1,047",903,776,787
,"Fishing, hunting and trapping  [BS11400]",9,11,11,9,8,14,16,15,14,15
,Support activities for agriculture and forestry  [BS11500],78,75,40,60,67,74,72,74,62,68
,Oil and gas extraction  [BS21100],"1,980","1,972","2,050","2,047","2,071","2,034","2,170","2,214","2,025","2,086"
,Coal mining  [BS21210],14,13,13,8,7,17,21,22,20,21
,Metal ore mining  [BS21220],358,516,623,717,577,850,817,859,786,652
,Non-metallic mineral mining and quarrying  [BS21230],334,281,265,329,333,372,370,314,347,354
,Support activities for mining and oil and gas extraction  [BS21300],585,614,533,403,596,446,447,439,362,587
,"Electric power generation, transmission and distribution  [BS22110]","14,533","10,582","6,549","6,914","6,109","3,087","4,691","4,353","4,048","4,280"
,"Natural gas distribution, water, sewage and other systems  [BS221A0]",315,415,430,558,506,611,751,865,"1,073","1,079"
,Residential building construction  [BS23A00],616,582,529,711,801,884,821,814,766,771
,Non-residential building construction  [BS23B00],209,174,151,234,231,279,269,265,176,176
,Transportation engineering construction  [BS23C10],461,519,410,636,618,769,712,642,488,485
,Oil and gas engineering construction  [BS23C20],83,89,88,126,120,129,109,125,101,103
,Electric power engineering construction  [BS23C30],154,210,226,335,285,242,364,364,239,237
,Communication engineering construction  [BS23C40],80,54,165,213,289,286,284,250,166,165
,Other engineering construction  [BS23C50],323,281,234,368,407,374,386,377,372,371
,Repair construction  [BS23D00],214,125,98,143,155,183,200,216,175,176
,Other activities of the construction industry  [BS23E00],108,121,115,149,140,154,155,154,102,103
,Animal food manufacturing  [BS31110],85,87,70,103,103,88,92,91,109,108
